k,raw_inertia,raw_silhouette,pca11_inertia,pca11_silhouette,silhouette_diff_pct
2,369359.9907546082,0.13861972297445135,298617.2735370671,0.13926142278006362,0.46292099842858364
3,333256.7539074776,0.13647793167396316,262873.7948045196,0.13558342948029284,-0.6554189257551385
4,307898.58790213754,0.14073252128263034,238877.11810498542,0.1339315780927665,-4.832531335245265
5,289404.05694961036,0.1465837821861605,220239.66146024424,0.14314867655246588,-2.3434418067696297
6,274553.14686424163,0.15432919899601527,205960.5071460821,0.15075698958073844,-2.3146685387572488
7,259930.2763353686,0.1565472708175667,192928.48787605553,0.15588633178810646,-0.4221977336356559
8,248376.2593974764,0.1568939431683118,180736.58860905885,0.1533930421339139,-2.231380615274756
